IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,231 ms,4281 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,220 ms,4273 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,320 ms,4272 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,228 ms,4271 kB/s
47.242.79.71,2087,true,HKG,Asia Pacific,Hong Kong,83 ms,4264 kB/s
8.222.214.231,8443,true,SIN,Asia Pacific,Singapore,215 ms,4252 kB/s
8.219.161.129,8443,true,SIN,Asia Pacific,Singapore,286 ms,4252 kB/s
47.237.11.182,8443,true,SIN,Asia Pacific,Singapore,217 ms,4238 kB/s
8.219.191.40,2087,true,SIN,Asia Pacific,Singapore,222 ms,4235 kB/s
8.219.117.198,2083,true,SIN,Asia Pacific,Singapore,216 ms,4229 kB/s
47.236.93.176,2053,true,SIN,Asia Pacific,Singapore,233 ms,4218 kB/s
8.222.193.65,8443,true,SIN,Asia Pacific,Singapore,220 ms,4200 kB/s
8.219.120.87,8443,true,SIN,Asia Pacific,Singapore,229 ms,4191 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,231 ms,4191 kB/s
8.218.243.95,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,4187 kB/s
8.219.117.198,2053,true,SIN,Asia Pacific,Singapore,244 ms,4177 kB/s
8.219.126.240,2053,true,SIN,Asia Pacific,Singapore,283 ms,4176 kB/s
8.219.161.129,2087,true,SIN,Asia Pacific,Singapore,287 ms,4169 kB/s
8.219.51.211,2087,true,SIN,Asia Pacific,Singapore,270 ms,4169 kB/s
8.222.156.242,2087,true,SIN,Asia Pacific,Singapore,228 ms,4167 kB/s
47.236.10.182,8443,true,SIN,Asia Pacific,Singapore,226 ms,4162 kB/s
8.219.60.54,2053,true,SIN,Asia Pacific,Singapore,272 ms,4146 kB/s
8.219.126.240,2096,true,SIN,Asia Pacific,Singapore,281 ms,4144 kB/s
8.222.162.45,2087,true,SIN,Asia Pacific,Singapore,225 ms,4120 kB/s
8.222.244.192,2087,true,SIN,Asia Pacific,Singapore,227 ms,4101 kB/s
47.236.9.152,2096,true,SIN,Asia Pacific,Singapore,238 ms,4092 kB/s
8.218.3.12,2096,true,HKG,Asia Pacific,Hong Kong,69 ms,4092 kB/s
47.242.171.94,2053,true,HKG,Asia Pacific,Hong Kong,82 ms,4089 kB/s
8.219.199.220,8443,true,SIN,Asia Pacific,Singapore,218 ms,4085 kB/s
8.218.243.95,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,4074 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,244 ms,4062 kB/s
47.237.95.146,2087,true,SIN,Asia Pacific,Singapore,242 ms,4062 kB/s
47.236.118.216,2087,true,SIN,Asia Pacific,Singapore,255 ms,4060 kB/s
8.219.174.213,2053,true,SIN,Asia Pacific,Singapore,278 ms,4059 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,246 ms,4045 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,296 ms,4044 kB/s
8.219.189.143,2096,true,SIN,Asia Pacific,Singapore,244 ms,4034 kB/s
47.243.203.119,2087,true,HKG,Asia Pacific,Hong Kong,94 ms,4027 kB/s
47.238.164.202,443,true,HKG,Asia Pacific,Hong Kong,78 ms,4021 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,239 ms,4017 kB/s
47.243.203.119,8443,true,HKG,Asia Pacific,Hong Kong,93 ms,4009 kB/s
8.219.11.158,2087,true,SIN,Asia Pacific,Singapore,218 ms,3990 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,237 ms,3988 kB/s
8.219.210.64,2083,true,SIN,Asia Pacific,Singapore,242 ms,3985 kB/s
8.222.183.242,8443,true,SIN,Asia Pacific,Singapore,222 ms,3979 kB/s
8.219.120.87,2083,true,SIN,Asia Pacific,Singapore,247 ms,3974 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,232 ms,3964 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,262 ms,3964 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,241 ms,3963 kB/s
47.243.74.220,2096,true,HKG,Asia Pacific,Hong Kong,106 ms,3961 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,232 ms,3959 kB/s
8.222.193.65,2087,true,SIN,Asia Pacific,Singapore,248 ms,3959 kB/s
8.222.183.242,2087,true,SIN,Asia Pacific,Singapore,241 ms,3948 kB/s
8.222.156.242,2096,true,SIN,Asia Pacific,Singapore,231 ms,3945 kB/s
8.219.174.213,2083,true,SIN,Asia Pacific,Singapore,253 ms,3903 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,230 ms,3887 kB/s
8.222.208.38,8443,true,SIN,Asia Pacific,Singapore,249 ms,3886 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,217 ms,3881 kB/s
8.222.181.117,2083,true,SIN,Asia Pacific,Singapore,219 ms,3880 kB/s
47.237.10.1,8443,true,SIN,Asia Pacific,Singapore,245 ms,3878 kB/s
8.219.1.92,2053,true,SIN,Asia Pacific,Singapore,260 ms,3874 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,228 ms,3852 kB/s
8.222.208.38,443,true,SIN,Asia Pacific,Singapore,238 ms,3846 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,245 ms,3845 kB/s
8.218.243.95,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,3827 kB/s
8.219.153.237,2087,true,NRT,Asia Pacific,Tokyo,402 ms,3826 kB/s
8.222.183.242,2096,true,SIN,Asia Pacific,Singapore,240 ms,3817 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,392 ms,3805 kB/s
8.219.177.205,2053,true,SIN,Asia Pacific,Singapore,239 ms,3800 kB/s
8.222.208.38,2083,true,SIN,Asia Pacific,Singapore,258 ms,3793 kB/s
47.245.118.70,2087,true,SIN,Asia Pacific,Singapore,236 ms,3793 kB/s
8.219.117.198,8443,true,SIN,Asia Pacific,Singapore,221 ms,3786 kB/s
8.219.200.145,2087,true,SIN,Asia Pacific,Singapore,231 ms,3769 kB/s
8.219.42.72,443,true,SIN,Asia Pacific,Singapore,222 ms,3734 kB/s
47.245.105.224,8443,true,SIN,Asia Pacific,Singapore,254 ms,3731 kB/s
47.236.118.216,8443,true,SIN,Asia Pacific,Singapore,225 ms,3730 kB/s
8.219.83.71,2096,true,SIN,Asia Pacific,Singapore,256 ms,3727 kB/s
8.217.221.165,2087,true,HKG,Asia Pacific,Hong Kong,201 ms,3722 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,336 ms,3721 kB/s
8.219.4.122,2053,true,SIN,Asia Pacific,Singapore,235 ms,3709 kB/s
8.210.9.129,8443,true,HKG,Asia Pacific,Hong Kong,134 ms,3692 kB/s
8.219.6.150,8443,true,SIN,Asia Pacific,Singapore,217 ms,3691 kB/s
8.222.179.231,2083,true,SIN,Asia Pacific,Singapore,229 ms,3689 kB/s
47.237.83.20,8443,true,SIN,Asia Pacific,Singapore,241 ms,3682 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,232 ms,3666 kB/s
8.222.214.231,2083,true,SIN,Asia Pacific,Singapore,237 ms,3656 kB/s
8.222.208.38,2096,true,SIN,Asia Pacific,Singapore,238 ms,3640 kB/s
8.222.191.138,2087,true,SIN,Asia Pacific,Singapore,242 ms,3631 kB/s
47.236.125.62,2053,true,NRT,Asia Pacific,Tokyo,289 ms,3621 kB/s
8.222.179.231,2096,true,SIN,Asia Pacific,Singapore,233 ms,3605 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,240 ms,3599 kB/s
8.218.3.12,2083,true,HKG,Asia Pacific,Hong Kong,70 ms,3597 kB/s
8.219.77.222,2083,true,SIN,Asia Pacific,Singapore,220 ms,3597 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,225 ms,3589 kB/s
8.219.49.65,2087,true,SIN,Asia Pacific,Singapore,217 ms,3587 kB/s
8.219.114.201,2053,true,SIN,Asia Pacific,Singapore,217 ms,3577 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,361 ms,3564 kB/s
8.219.191.40,2096,true,SIN,Asia Pacific,Singapore,222 ms,3552 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,231 ms,3541 kB/s
8.217.232.246,2096,true,HKG,Asia Pacific,Hong Kong,123 ms,3519 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,236 ms,3506 kB/s
47.242.157.96,2083,true,HKG,Asia Pacific,Hong Kong,85 ms,3499 kB/s
8.219.153.237,8443,true,NRT,Asia Pacific,Tokyo,411 ms,3499 kB/s
8.219.66.156,8443,true,NRT,Asia Pacific,Tokyo,305 ms,3479 kB/s
8.222.156.242,8443,true,SIN,Asia Pacific,Singapore,215 ms,3458 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,222 ms,3424 kB/s
47.236.144.156,8443,true,SIN,Asia Pacific,Singapore,331 ms,3392 kB/s
8.219.99.169,2083,true,SIN,Asia Pacific,Singapore,218 ms,3370 kB/s
8.210.245.224,2053,true,HKG,Asia Pacific,Hong Kong,106 ms,3362 kB/s
8.219.114.201,2083,true,SIN,Asia Pacific,Singapore,238 ms,3342 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,227 ms,3314 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,490 ms,3310 kB/s
8.219.114.201,2087,true,SIN,Asia Pacific,Singapore,217 ms,3305 kB/s
47.237.86.185,8443,true,SIN,Asia Pacific,Singapore,246 ms,3305 kB/s
8.222.164.209,443,true,SIN,Asia Pacific,Singapore,213 ms,3299 kB/s
8.219.42.72,2053,true,SIN,Asia Pacific,Singapore,230 ms,3289 kB/s
47.236.145.85,2053,true,SIN,Asia Pacific,Singapore,228 ms,3282 kB/s
8.219.153.237,2083,true,NRT,Asia Pacific,Tokyo,312 ms,3226 kB/s
8.219.77.222,2096,true,SIN,Asia Pacific,Singapore,221 ms,3224 kB/s
8.219.4.122,2087,true,SIN,Asia Pacific,Singapore,228 ms,3222 kB/s
8.222.181.117,2096,true,SIN,Asia Pacific,Singapore,222 ms,3212 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,253 ms,3100 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,237 ms,3093 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,230 ms,3072 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,225 ms,3068 kB/s
47.236.85.11,8443,true,SIN,Asia Pacific,Singapore,311 ms,3068 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,246 ms,3042 kB/s
8.219.153.237,2096,true,NRT,Asia Pacific,Tokyo,391 ms,3038 kB/s
47.237.0.31,2096,true,SIN,Asia Pacific,Singapore,232 ms,3036 kB/s
8.219.66.156,2053,true,NRT,Asia Pacific,Tokyo,284 ms,2924 kB/s
8.222.249.190,8443,true,SIN,Asia Pacific,Singapore,213 ms,2918 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,210 ms,2885 kB/s
8.219.248.47,2083,true,SIN,Asia Pacific,Singapore,230 ms,2882 kB/s
8.210.9.129,2083,true,HKG,Asia Pacific,Hong Kong,136 ms,2863 kB/s
47.237.92.26,8443,true,SIN,Asia Pacific,Singapore,254 ms,2843 kB/s
8.218.3.12,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,2840 kB/s
8.217.90.154,443,true,HKG,Asia Pacific,Hong Kong,109 ms,2831 kB/s
8.219.66.156,2096,true,NRT,Asia Pacific,Tokyo,316 ms,2799 kB/s
47.245.105.224,2083,true,SIN,Asia Pacific,Singapore,243 ms,2693 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,226 ms,2680 kB/s
47.245.126.151,2083,true,SIN,Asia Pacific,Singapore,245 ms,2674 kB/s
8.210.175.109,2083,true,HKG,Asia Pacific,Hong Kong,128 ms,2648 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,143 ms,2632 kB/s
8.219.229.190,2087,true,SIN,Asia Pacific,Singapore,230 ms,2597 kB/s
47.245.84.124,2087,true,SIN,Asia Pacific,Singapore,256 ms,2556 kB/s
8.219.200.145,2083,true,SIN,Asia Pacific,Singapore,221 ms,2533 kB/s
47.245.84.124,2083,true,SIN,Asia Pacific,Singapore,239 ms,2499 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,229 ms,2472 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,244 ms,2463 kB/s
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,159 ms,2442 kB/s
8.219.153.237,2053,true,NRT,Asia Pacific,Tokyo,376 ms,2384 kB/s
47.237.100.206,2087,true,SIN,Asia Pacific,Singapore,217 ms,2345 kB/s
8.210.245.224,2087,true,HKG,Asia Pacific,Hong Kong,101 ms,2173 kB/s
8.222.208.38,2053,true,SIN,Asia Pacific,Singapore,268 ms,2159 kB/s
8.210.48.107,8443,true,HKG,Asia Pacific,Hong Kong,111 ms,2113 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,261 ms,2105 kB/s
8.218.204.128,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,1942 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,318 ms,1928 kB/s
47.237.94.140,8443,true,SIN,Asia Pacific,Singapore,242 ms,1912 kB/s
47.237.95.13,8443,true,SIN,Asia Pacific,Singapore,288 ms,1900 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,238 ms,1862 kB/s
47.242.17.250,2083,true,HKG,Asia Pacific,Hong Kong,161 ms,1811 kB/s
8.218.122.55,8443,true,HKG,Asia Pacific,Hong Kong,80 ms,1807 kB/s
8.210.156.6,2087,true,HKG,Asia Pacific,Hong Kong,138 ms,1787 kB/s
47.237.95.156,8443,true,SIN,Asia Pacific,Singapore,214 ms,1753 kB/s
8.210.9.129,443,true,HKG,Asia Pacific,Hong Kong,141 ms,1720 kB/s
8.210.9.129,2087,true,HKG,Asia Pacific,Hong Kong,157 ms,1692 kB/s
8.210.39.96,2087,true,HKG,Asia Pacific,Hong Kong,105 ms,1610 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,282 ms,1556 kB/s
8.217.250.222,2096,true,HKG,Asia Pacific,Hong Kong,108 ms,1447 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,260 ms,1404 kB/s
8.218.243.95,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,1237 kB/s
47.243.90.180,2096,true,HKG,Asia Pacific,Hong Kong,126 ms,1168 kB/s
8.210.119.11,2096,true,HKG,Asia Pacific,Hong Kong,189 ms,1163 kB/s
8.218.204.128,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,1132 kB/s
47.243.27.217,2096,true,HKG,Asia Pacific,Hong Kong,183 ms,1111 kB/s
47.76.33.40,2087,true,HKG,Asia Pacific,Hong Kong,192 ms,773 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,266 ms,758 kB/s
47.237.95.156,2096,true,SIN,Asia Pacific,Singapore,235 ms,755 kB/s
8.210.192.93,2087,true,HKG,Asia Pacific,Hong Kong,127 ms,748 kB/s
47.76.32.108,2083,true,HKG,Asia Pacific,Hong Kong,125 ms,611 kB/s
8.219.191.110,2087,true,SIN,Asia Pacific,Singapore,217 ms,608 kB/s
47.76.146.1,8443,true,HKG,Asia Pacific,Hong Kong,162 ms,547 kB/s
47.245.84.124,8443,true,SIN,Asia Pacific,Singapore,231 ms,534 kB/s
47.76.32.108,2053,true,HKG,Asia Pacific,Hong Kong,130 ms,493 kB/s
47.245.114.163,2087,true,SIN,Asia Pacific,Singapore,253 ms,480 kB/s
47.245.86.230,2096,true,SIN,Asia Pacific,Singapore,236 ms,470 kB/s
47.76.146.1,2053,true,HKG,Asia Pacific,Hong Kong,131 ms,467 kB/s
47.243.183.127,2087,true,HKG,Asia Pacific,Hong Kong,139 ms,422 kB/s
47.76.32.108,8443,true,HKG,Asia Pacific,Hong Kong,171 ms,371 kB/s
8.218.204.128,8443,true,HKG,Asia Pacific,Hong Kong,70 ms,367 kB/s
47.243.90.180,2053,true,HKG,Asia Pacific,Hong Kong,145 ms,284 kB/s
47.76.32.108,2096,true,HKG,Asia Pacific,Hong Kong,180 ms,223 kB/s
8.217.193.25,8443,true,HKG,Asia Pacific,Hong Kong,117 ms,217 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,161 ms,211 kB/s
47.245.105.224,2053,true,SIN,Asia Pacific,Singapore,248 ms,185 kB/s
8.217.132.184,443,true,HKG,Asia Pacific,Hong Kong,262 ms,179 kB/s
8.219.106.156,443,true,SIN,Asia Pacific,Singapore,216 ms,173 kB/s
8.210.65.1,2083,true,HKG,Asia Pacific,Hong Kong,121 ms,109 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,233 ms,99 kB/s
47.243.139.243,2096,true,HKG,Asia Pacific,Hong Kong,81 ms,96 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,308 ms,39 kB/s
8.218.63.172,443,true,HKG,Asia Pacific,Hong Kong,102 ms,38 kB/s
47.245.86.230,2083,true,SIN,Asia Pacific,Singapore,238 ms,0 kB/s
47.76.146.1,2096,true,HKG,Asia Pacific,Hong Kong,161 ms,0 kB/s
47.76.146.1,2083,true,HKG,Asia Pacific,Hong Kong,128 ms,0 kB/s
8.222.164.209,2053,true,SIN,Asia Pacific,Singapore,222 ms,0 kB/s
47.236.146.249,2083,true,SIN,Asia Pacific,Singapore,219 ms,0 kB/s
47.245.102.52,2083,true,SIN,Asia Pacific,Singapore,232 ms,0 kB/s
8.210.21.65,2083,true,HKG,Asia Pacific,Hong Kong,129 ms,0 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,347 ms,0 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,249 ms,0 kB/s
47.76.49.246,8443,true,HKG,Asia Pacific,Hong Kong,139 ms,0 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,222 ms,0 kB/s
8.217.250.222,2053,true,HKG,Asia Pacific,Hong Kong,85 ms,0 kB/s
47.243.74.220,2083,true,HKG,Asia Pacific,Hong Kong,136 ms,0 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,120 ms,0 kB/s
8.217.121.207,2087,true,HKG,Asia Pacific,Hong Kong,89 ms,0 kB/s
8.217.159.210,2087,true,HKG,Asia Pacific,Hong Kong,113 ms,0 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,231 ms,0 kB/s
47.236.169.164,8443,true,SIN,Asia Pacific,Singapore,233 ms,0 kB/s
47.242.234.127,2053,true,HKG,Asia Pacific,Hong Kong,264 ms,0 kB/s
8.217.159.210,2083,true,HKG,Asia Pacific,Hong Kong,121 ms,0 kB/s
47.243.27.217,8443,true,HKG,Asia Pacific,Hong Kong,128 ms,0 kB/s
47.243.173.187,2083,true,HKG,Asia Pacific,Hong Kong,157 ms,0 kB/s
47.236.169.164,2083,true,SIN,Asia Pacific,Singapore,232 ms,0 kB/s
47.243.206.150,2087,true,HKG,Asia Pacific,Hong Kong,106 ms,0 kB/s
47.76.204.76,2096,true,HKG,Asia Pacific,Hong Kong,212 ms,0 kB/s
